5000
order_Apterygiformes,flacourtia_family
magnolia_family,class_Tardigrada
ampicillin,Epipremnum
yellow_clintonia,gerbille
capital_of_Senegal,equity
Lemna_minor,religious_festival
chief_petty_officer,legitimation
debilitation,Harrison
belt_bag,strengthener
Marc_Blitzstein,Montmartre
Cerastium_alpinum,capital_of_Louisiana
knee,table-mountain_pine
dado,tetryl
shamefulness,zymolysis
lusterware,wangle
crested_wheatgrass,Cercopidae
Turk,portal_site
dotard,angular_unit
Ipomoea_orizabensis,nonsteroidal_anti-inflammatory_drug
seventh,cutpurse
compost_heap,splintering
able-bodiedism,family_Leguminosae
Robert_Bruce_Mathias,Billings
canon_law,verdin
Copt,NC
Balaena_mysticetus,android
consequence,Tulu
serratus_muscles,nuclear_engineering
sex_symbol,battle_of_Sempach
pilot_project,sweetness
Reptilia,yellow_colicroot
specificity,Fosbury_flop
Buffalo_Bill_Cody,byplay
funny,one_C
genus_Melanotis,Meloidae
Arnold_Joseph_Toynbee,Shingon
Md.,Thalictrum
negative_pole,pointel
quirk,hard_wheat
panpipe,Venus'-hair_fern
farce,spy_satellite
theophany,dog_shit
halitus,Low_Latin
sea_biscuit,A_level
tau_coefficient_of_correlation,particle_detector
computer_accessory,homogenized_milk
twenty-nine,boost
forgivingness,conformation
epos,Pelecanus_onocrotalus
Ephippidae,physical_property
crow's_nest,perisher
printmaking,summercater
tam,Aram_Kachaturian
Laurentian_Plateau,Orizaba
extended_time_scale,February_22
trainmaster,bird's_foot_trefoil
dark_red,Bungarus_fasciatus
rhabdovirus,arbiter
Colinus,camo
discourse,stodginess
plane_ticket,functionalist
emcee,castor_oil
muralist,interferometer
Wyeth,pony
maternity_ward,Zairese
family_Coreidae,floor_cover
Cipro,wet-nurse
von_Willebrand's_disease,musk_hog
Freudian_psychology,Bradypus
genus_Caiman,creepiness
Allegheny_chinkapin,chammy_leather
crowbar,juvenescence
pectoral,Eriocaulon
Krypterophaneron,homonym
sham,Simoniz
bunker_mentality,Jafar
marlingspike,Carry_Nation
workbox,stamp_mill
Commerce_Department,car_battery
Morpheus,genus_Zannichellia
scouring_pad,binary_number_system
discina,Switzerland
genus_Porcellio,public_service
testicular_vein,dirndl
police_blotter,Cuban_monetary_unit
Robert_Robinson,Casuarina_equisetfolia
rain_tree,David_Grun
springtime,bookseller
Fuller,genus_Calla
indulging,incoherency
dog_violet,laminectomy
Tel_Aviv-Yalo,councilwoman
spokesman,Fallot's_syndrome
sea_kale,Cordia_alliodora
windbreak,Darrow
huamachil,meddler
self-fulfillment,number
coldheartedness,jury_mast
state_supreme_court,Rabelais
community_of_scholars,Pilea_microphylla
Lorenzo_the_Magnificent,japan
Tantilla,encrustation
Hindu-Arabic_numeral,jack_oak
animal_trainer,lasagna
family_Xyridaceae,Conyza_canadensis
prosodion,leporide
paraphrase,Calamagrostis_acutiflora
plain_sailing,Packera
Gastropoda,Aleksandr_Borodin
booklover,Midweek
godliness,malice
drawnwork,junky
brake_pedal,endocrine_system
Ovis_poli,espresso_maker
cinnamon_bun,Gloria_Steinem
Agrostemma_githago,small_boat
hammer_throw,ankylosing_spondylitis
deerstalking,sarin
mainframe,plunk
huntsman's_cup,fade
hotel-casino,motor_torpedo_boat
disreputability,blue_green
Vanellus,lance
thyroid_hormone,armored_car
duchess,role
pes_planus,scarf_bandage
semifinal,family_Meliphagidae
nun's_habit,cream_pitcher
L-P,undercharge
Fabian_Society,word
genus_Peltandra,plantar_reflex
Snow,capital_of_Idaho
family_Melastomaceae,Annona_squamosa
Plavix,conservancy
City_of_London,tennis_coach
PPLO,arteria_temporalis_anterior
field_balm,panhysterectomy
kasbah,cabbage_tree
natural_language_processing_application,Karloff
Scourge_of_God,mohair
gluteal_vein,Platymiscium_trinitatis
Armageddon,Lycaena_hypophlaeas
scoring,gentlemen's_agreement
genus_Argyroxiphium,set_chisel
general_verdict,Arabian_jasmine
migratory_grasshopper,conservation_of_energy
marquee,tow_car
fluff,rima_glottidis
figure_of_speech,tarsal_bone
genus_Pericallis,beef_tenderloin
Scutigerella,magnoliopsid
genus_Troglodytes,genus_Lepidobotrys
hypercalcinuria,Shintoism
aborticide,Canaanitic_language
bucolic,begum
nitta_tree,genus_Ailurus
thoracic_nerve,breast
subdominant,black_cohosh
kneecap,genus_Scaphiopus
bar_chart,gray_matter
stanza,wormwood_oil
silver_spoon,Byblos
Sir_John_Ross,baleen_whale
honeymoon_resort,jellaba
defense,querulousness
columbian_mammoth,printer's_devil
trey,limbus
deepening,Weber-Fechner_law
genus_Pogonia,companionship
budget_deficit,cosmopolitan
degree,voile
natatorium,Church_of_Rome
Yerkes,meninges
earliness,apolune
family_Blastodiaceae,wassail
Deep_South,muon
googly,deaf-aid
conflict_of_interest,Frank_Sinatra
high_country,family_Rhizobiaceae
betaine,acetyl_chloride
Pernis_apivorus,inertial_guidance
frustration,mayapple
semitropics,testee
Cruciferae,Tropic_of_Cancer
despoliation,railroad_vine
pithead,arm
sagittal_suture,smooth_muscle
alumnus,teacup
Decatur,karate
paraffin_wax,enallage
Actaea_rubra,drunkenness
hind_leg,drachm
obstructive_shock,moldboard
Vladimir_Putin,arteria_auricularis
Salafast_Group_for_Call_and_Combat,Socratic_method
debris,raptor
Homarus_vulgaris,Federal_Reserve
Pseudomonas_solanacearum,joint-stock_company
centrefold,Rodentia
toxoid,bed_clothing
inchoative,family_Suidae
cholera,Howard_Pyle
Castanea_ozarkensis,osteochondroma
sildenafil,Purinethol
albuterol,electroplate
Medicaid_funds,unfavourableness
dyad,replacing
creeping_fern,point_of_apoapsis
genus_Astropogon,family_Clathraceae
Curcuma_domestica,Pays_de_la_Loire
muscle_memory,Icterus_galbula
Daniel_Boone,kiloliter
banzai_attack,second_sight
genus_Schizophragma,owlet
Calostoma_lutescens,kid_glove
emery_stone,sapiential_book
Nephrolepis_pectinata,pendant
sodium_iodide,Liquidambar
expansion_slot,upkeep
aneurysm,winter_squash
road_show,dysuria
Baton_Rouge_Bridge,milestone
Dermochelyidae,electromagnetism
spore_sac,Nikolaas_Tinbergen
Motrin,incasement
hypolipoproteinemia,bedtime
genus_Ulva,h
ice_tongs,kiss_curl
Wintera,passkey
silent_butler,Hedeoma_pulegioides
eminent_domain,Holy_Sepulchre
metacarpophalangeal_joint,unregularity
Ybit,antidote
evergreen_cherry,genus_Capros
network_topology,solar_energy
piece_de_resistance,hot_weather
orchard_oriole,varna
Phyllostachys_nigra,Gaius_Plinius_Caecilius_Secundus
armed_service,athenaeum
gilt,razzmatazz
oesophagogastric_junction,vitamin_pill
genus_Icterus,Semnopithecus_entellus
firebird,Mishna
hortensia,Alpine_golden_chain
pityriasis,winter_hazel
blind_corner,Heteranthera
epicycle,femur
bergall,motormouth
scalar_matrix,yellow_berry
mimeo,paper_rush
stag's-horn_coral,Martynia_arenaria
posttraumatic_amnesia,target_language
Englishwoman,AK
haft,air_horn
vibration,butter_churn
Peter_Seamus_O'Toole,soap-weed
New_Zealand,genus_Cervus
family_Solanaceae,firedamp
written_assignment,Joliot-Curie
Protea_mellifera,red_spider_mite
margosa,bulk_mail
Tyranni,scrub_typhus
surround,appetency
capital_of_Sierra_Leone,Pluvialis
dispensation,brainstorm
bight,plus
household_appliance,rapid
topminnow,litter_basket
knuckle_joint,bull_shark
creature_comforts,Asia
Lopid,abetalipoproteinemia
deflationary_spiral,black_morel
probabilism,dead_nettle
THC,Cox-2
airing,symbolising
musnud,mosquito_bite
passing_shot,smoothhound_shark
Republic_of_Belarus,eldership
gold-beater,Naja_nigricollis
Raphia,pegboard
Helichrysum_bracteatum,thyrocalcitonin
green_goods,Aidoneus
genus_Crocuta,seidel
Orumiyeh,blastomycosis
Jafar_Umar_Thalib,Coeloglossum_viride
ultrasound,classical_hemophilia
matelote,gun_pendulum
Teasdale,obsession
starling,sterling
Mary_Ashton_Rice_Livermore,family_Canellaceae
bulge,hunk
stopcock,genus_Camellia
superior_thyroid_vein,indium
freedom_of_speech,nightdress
polytechnic,catboat
Federal_soldier,air_compressor
Menai_Strait,lend-lease
Halictidae,NSA
delayer,animal_black
ad,time-switch
genus_Porcellio,gauge_boson
Tyto_alba,nonperson
Bethe,Hardy
Ascaphidae,Middle_Greek
hysterotomy,Salix_alba_vitellina
highwater,loco_disease
Platanthera,Mideast
bulk,Zygnemales
dentition,Saint_Nick
Mickey,coatdress
Dioscorea_bulbifera,extramarital_sex
geisha,naked_mole_rat
curlew_sandpiper,bakshis
compere,blade_apple
descendent,Jack_Dempsey
unskillfulness,exhaust_pipe
intersex,genus_Proteles
ribier,putridity
Zapotecan,James_Mill
fern_genus,Kemadrin
smasher,manila_maguey
Golden_Gate,Pinsk
polymorphism,characterization
Father_Brown,Vespula_maculifrons
abhorrer,Turdus_iliacus
sufferer,genus_Taurotragus
order_Mucorales,seed_shrimp
instillator,linkboy
zona,Gracula_religiosa
Umma,communicant
Helleborus_orientalis,ginzo
loadstone,trifluoromethane
hub,heaven
Hume_Blake_Cronyn,wrath
azide,Bibos_frontalis
Abyssinian_banana,antelope_chipmunk
LSD,calcimine
interrogation_point,steel_industry
close_corporation,Calliphora_vicina
thin-shelled_mussel,Chordata
breakup,conditional_reaction
Oxalis_tuberosa,knockoff
breechloader,Argyrol
binnacle,orphanage
gage,Manis
pyralid,lefthander
stephanotis,Galileo
Javelle_water,woman_of_the_house
monoculture,flagfish
glass-cutter,middle_age
bathtub,Fuchs
large-leaved_aster,qualifying
red_phalarope,brush-off
gallfly,plantigrade
Prunus_nigra,nonsteroidal_anti-inflammatory
S._Smith_Stevens,imperative_mood
sitting_room,St._Polycarp
tortricid,Rosicrucian
John_Addington_Symonds,Asteroidea
Muntingia,sun_porch
naphthalene,apogamy
Senecio_cruentus,Mohorovicic_discontinuity
panel_light,cognisance
cephalochordate,goose_liver
Timalia,Ornithorhynchus
William_of_Occam,skedaddle
platinum_blond,genus_Santolina
erratum,carbonado
pizza_pie,Karl_Barth
reproducer,yard_donkey
Kirchner,gaur
metal_detector,getting_even
proffer,National_Institute_of_Standards_and_Technology
wings,marten_cat
Louis_d'Outremer,streptodornase
bootlace,margin_of_error
bourgeois,leading_lady
widow's_weeds,Karl_Barth
lingerie,diffraction_grating
calc-tufa,direct_mailer
voile,welsher
epiphysis,Scarabaeus_sacer
fish_doctor,body_lotion
sahib,containership
dispatch,financial_loss
Uria_aalge,Rolaids
Oligoporus,family_Nautilidae
Pyridium,Luke
heroic_couplet,syntactic_category
Tilapia,geodesy
cellar,ochlocracy
cocoa_plum,beehive
wall,disambiguator
draftsperson,Edmund_Hillary
genus_Strix,lubricator
school_of_music,actinia
John_Davys,taradiddle
Archosargus_rhomboidalis,Typhoid_Mary
wild_yellow_lily,sapper
autogenesis,data_file
averageness,fatty
genus_Pelecanus,heath_aster
crystallization,Lethe
Bromus_tectorum,Otis
space_shuttle,red-backed_mouse
Bromus_secalinus,Epistle_of_Paul_the_Apostle_to_the_Romans
Scomberesocidae,Cotula_coronopifolia
LTTE,Count_Lev_Nikolayevitch_Tolstoy
first_blush,genus_Mulloidichthys
Black_Hawk,Anton_Chekov
sente,throat_sweetbread
genus_Petroselinum,takedown
real_world,Leptopteris
Doris_Lessing,satellite_television
Macropus,hind
Golfo_de_Campeche,parasitic_plant
alkali_metal,mixed_marriage
Steichen,professionalisation
economic_rent,record-breaker
Agropyron_trachycaulum,leprosy_bacillus
WLAN,angiopathy
Saharan,dress_circle
Urosaurus,indubitability
class_Ciliophora,mason_bee
Book_of_Obadiah,partridge_pea
hen_party,Lentinus_edodes
radiant_flux,genus_Schaffneria
long-suffering,hempen_necktie
park,tree_poppy
plausibleness,communication_trench
1750s,junior_high
Boniface,Weston
monitoring,ketone_body
plasmacyte,elliptic_geometry
genus_Ixobrychus,Corylus_cornuta
quarter,sweet_melon
advertiser,impasse
Second_Council_of_Constantinople,floor_board
dovetail,rhubarb
field-sequential_color_TV,genus_Nothofagus
mountain_parsley_fern,copyright
large_periwinkle,Phalaris_canariensis
genus_Aeonium,Sisyrinchium
tonus,John_Dalton
Marconi_rig,Cartesian_product
criminal_suit,Indian_rhododendron
Bronte_sisters,free_kick
leprechaun,Ochroma_lagopus
Jean_Antoine_Watteau,transuranic_element
might,hiding_place
sauerkraut,father-figure
funeral_home,element_111
Louis_Aragon,green_soap
genus_Anomalops,corchorus
genus_Melastoma,International_Labour_Organization
Gallant_Fox,foryml
rough-stemmed_goldenrod,guyot
Santiago_de_los_Caballeros,finger-roll
wildlife,diaglyph
Volga,dancing_school
motorbike,missus
sensor,dessert_spoon
slot,honor_guard
lumbosacral_plexus,night_heron
mara,mysophilia
von_Willebrand,Fraxinus_cuspidata
Cyphomandra,telerobotics
baby_talk,Anthurium_andraeanum
softener,reaffiliation
bread-bin,Henry_III
Lr,dichotomisation
sternutatory,stem_turn
fichu,stinking_cedar
Georgi_Konstantinovich_Zhukov,common_milkwort
awlwort,Hydrobates
belay,inertia
linoleum_cutter,Ipidae
stationmaster,Key_West
Ceratitis,Donne
umbrella_bird,Copernicia_alba
Philip_V,rock_group
paralytic,common_myrtle
sanctimony,filibuster
dialectical_materialism,subsidiary_company
alizarine_red,Gutierrezia_microcephala
piastre,McKinley
Lilium_martagon,M
pull-in,Ricardo
psychiatry,glutton
toluene,wardership
backspin,Special_Forces
locust_pod,garden_snail
vaunter,introitus
1960s,rights_offering
Bangladeshi,Ignace_Jan_Paderewski
divot,pubic_hair
semidarkness,watering_place
sugar_beet,wild_hop
navy_bean,open_account
battle_of_Chattanooga,yoghourt
hencoop,Boocercus_eurycerus
Muraenidae,kibibit
tree_creeper,Nigroporus_vinosus
bolometer,Hottentot_bread_vine
Callimorpha_jacobeae,Ativan
auxesis,rookie
Thaddaeus,Peromyscus_leucopus
genus_Comptonia,tyrant
common_carline_thistle,Opuntiales
family_Coregonidae,Pithecellobium
Ixobrychus_exilis,judicatory
soap_pad,hyperadrenocorticism
Nagasaki,sapidness
disaffection,aberration
Spanish_gorse,devil's_turnip
digital_voltmeter,field_goal
ethosuximide,tort-feasor
forsythia,uvula
CJD,navel-gazing
Sam_Goldwyn,family_Orchidaceae
John_Walker,black-stemmed_spleenwort
chef,bath_asparagus
seller's_market,Santa_Maria_de_Belem
life-support_system,skyhook
supercharger,tuberculin
buret,fan_letter
carbon_arc,salol
sanction,pavement
mental_unsoundness,President_Grant
dartboard,hex_nut
smooch,Elephas
Steven_Weinberg,Hordeum_vulgare
Opel,Dioscorea_paniculata
tercel,Oniscus
citrus_fruit,Carlos_Fuentes
southland,marguerite
English_sparrow,sideswipe
tempter,Principen
Seventh-Day_Adventism,feature_film
Platt_National_Park,genus_Leontideus
family_Myrmeleontidae,Jesuit's_bark
bole,acceptance_sampling
gumwood,trotter
millimeter_of_mercury,loculus
highball,subsequentness
decahedron,underevaluation
Valerianella,Dramamine
anarchy,Olea
Eichhornia,storage_warehouse
Lot,signal_level
Homarus_vulgaris,deity
cornsilk,corpuscular-radiation_pressure
Coniferopsida,manhunt
cookie_sheet,ephedra
surface_mail,Pallas_Athene
red_gum,violent_stream
stable_companion,at_home
leash,counterweight
overshielding,wild_olive
roller_coaster,Sherwood
Caesar_salad,Tom_Thumb
genus_Herrerasaurus,idiot_light
hoodoo,os_temporale
civic_duty,grief
frump,bawdiness
Rushmore,Tower_of_Babel
burgundy,amadavat
Chukchi_Sea,marzipan
vena_bulbi_penis,fleet
Damon_Runyon,sting_operation
thingmajig,choo-choo
parson's_nose,bottle-grass
Tutelo,extra_dividend
Clarksburg,giggler
Chlamydosaurus,sand_tiger
piano_damper,Forseti
John_Doe,livelihood
repairman,re-experiencing
stock_buyback,red-backed_mouse
Pasigraphy,Japanese_linden
University_of_Chicago,sea_lion
underexposure,Mozart
precipitator,Uzi
forget-me-not,game_fish
genus_Uvularia,nuclear_cataract
excursion,Donald_Robert_Perry_Marquis
particularism,electric_thermometer
non-cash_expense,Musca_domestica
dissent,Lamium_album
blue_cat,English_Civil_War
os_breve,limning
felafel,relative_molecular_mass
UK,Iroquoian_language
St._Ignatius_of_Loyola,dead_end
Capra_hircus,San_Juan_Mountains
polychete,Gerard_Peter_Kuiper
big_cheese,Fallopius
rubor,internasal_suture
coursing,goosefish
posturing,yakety-yak
electric_outlet,digital_watch
lifework,hand_clapping
baking_chocolate,rheumatoid_spondylitis
awakening,Peace_of_Westphalia
Neapolitan_ice_cream,Polish_monetary_unit
Imuran,sympathetic_vibration
countinghouse,Hamelin
battle_of_Trasimeno,political_platform
cease-fire,Star_of_David
throat_infection,legalism
Brocadopa,Bufo_viridis
Crispin,family_Bufonidae
transport_ship,apiculturist
pubic_hair,lesser_wintergreen
bureau,Federal_Housing_Administration
order_Marsupialia,striped_muishond
olive_family,bomb_shelter
Gymnopilus_validipes,Lathyrus_latifolius
pullback,family_Reduviidae
biography,true_fungus
power_pack,eddo
accessory_vertebral_vein,acute_organic_brain_syndrome
expender,shariah
loveseat,Solvay
reorder,scallop_shell
arcuate_artery_of_the_kidney,Puccinia
literature,genus_Icterus
savoy,bouncing_Bess
cirrus_cloud,immunoglobulin_A
escort,genus_Amazona
dracontium,laminitis
stutter,Eriocaulon
Cameroun,Cipro
neuroepithelium,Euphausiacea
genus_Acris,slinger
exotropia,Mel_Columcille_Gerard_Gibson
souari_nut,tulip
shrub,roofy
primrose_jasmine,anti-intellectual
genus_Lathyrus,Ceratostomella_ulmi
laxness,trouble
roarer,contraction
persona_non_grata,transitive_verb_form
Scorpion,Cooley's_anemia
electrical_contact,John_Ruskin
tundra_soil,family_Mutillidae
samovar,beagle
contact_mike,Juan_Ramon_Jimenez
Bachelor_of_Arts_in_Nursing,Permian_period
subfamily_Sterninae,cushion
Jumada_I,griot
Isaac_Bashevis_Singer,treasure_hunt
sise,family_Ranunculaceae
cannon_fire,reciprocal
Tamil,autochthony
Mary_Ann_Evans,jeer
dermis,acarus
baseball_team,troika
razzle,coscoroba
antimatter,Fraser_fir
Onagraceae,least_squares
gear_lever,piano
scree,preclinical_test
Tasman_dwarf_pine,fever_pitch
aid_station,notepad
family_Ophioglossaceae,haj
estuary,linendraper
tort,Dana
asynchronism,hypnotic
article_of_furniture,Dalmane
cental,dyer's_mignonette
purposefulness,slob
Martin_Luther_King_Jr.,amino_group
mandibular_notch,free_living
Aepyceros,ESE
animateness,work_party
snuffle,genus_Lewisia
genus_Xanthomonas,crystallization
genus_Astroloma,cracker_bonbon
Az_Zarqa,genus_Drymarchon
uranalysis,bo_tree
Quinquagesima_Sunday,ectopic_pregnancy
concavity,dental_appliance
modern_man,punch_bag
vena_basalis,Gianni_Versace
haematogenesis,terminable_interest
soup_bowl,paraleipsis
cycad,local_area_network
scientific_instrument,malignance
inertial_mass,human_being
Hermann_Goring,manger
fata_morgana,piece_of_work
clean_bill_of_health,hot_weather
money_order,knickerbockers
cancer_weed,International_Date_Line
Castroism,serology
succession,xerophyte
greater_knapweed,round-leaved_rein_orchid
adobo,elderly
colour_tube,kilowatt_hour
Norwegian_monetary_unit,slippery_dick
generalist,neutron_radiation
starling,brigantine
liver_fluke,genus_Hyracotherium
little-head_snakeweed,halma
herring_salad,car_traffic
redbelly,Ceftin
vulnerability,Victoria_Day
Somalian_monetary_unit,Romeo
genus_Eriodictyon,real_life
whistle,sea
cherub,colonist
genus_Ricinus,Olea_europaea
genus_Cryptobranchus,cat-o'-nine-tails
tithonia,ibuprofen
soft_rush,forehand_shot
Atayalic,eudaemonia
cochin,Earl_Russell
cyst,protractor
Cinclus_aquaticus,Capital
tongueflower,graviton
medical_profession,PO_box_number
esthesia,motive
Bruneian,cotton_rush
earth-tongue,aqueduct
hamburger_bun,Dactyloctenium
genus_Poronotus,hexagram
soft_corn,complin
grommet,bevel_square
tympanum,Ernst_Mach
angiosperm,Wallace
Calnada_pea,Carpathian_Mountains
Queensland,genus_Cheiranthus
Diplotaxis,French_bracken
leaf_insect,orchestra
prelim,collapse
Quercus_grosseserrata,Buccinidae
skin_care,Myxinikela_siroka
Burundi,hotfoot
genus_Acris,double_chin
metaphysics,hemiparasite
infinite,Proboscidea_arenaria
genus_Bankia,antelope_chipmunk
bed_bug,instrumentation
Fifth_Lateran_Council,framboise
papacy,Holocephali
slut,test_suit
nonappearance,Hemerocallis_flava
incongruity,nickelodeon
genus_Pisanosaurus,puffbird
intaglio,Panamanian_capital
deltoid_leaf,partisanship
employment_office,Megatherium
thymic_acid,Salvia_divinorum
nihilism,armed_forces
carting,roughage
hollo,Amazon_ant
coolant_system,medroxyprogesterone
bryozoan,dictyosome
Aspergillus,starting_line
metropolitan,coloratura
organization_chart,Apium_graveolens
Ribes_sanguineum,liverwurst
Khrushchev,Pedilanthus
alms_tray,Poplar_Bluff
fibroblast,cocoa_bean
Calvinistic_Baptist,Oscillatoriaceae
seed_weevil,dump
Light_Within,Six_Nations
meeter,security_intelligence
pugilist,Nagano
stolen_property,stumbler
golf_range,superior_labial_artery
pentecostalism,abolitionism
rectal_reflex,genus_Bombus
absorptivity,eutrophication
identicalness,field_line
Ira_Gershwin,Pinckneya
condensate,hard_drive
peseta,roselle
genus_Balanus,number_cruncher
serious-mindedness,eon
Sir_Hiram_Stevens_Maxim,American_redstart
predilection,James_Madison
family_Leguminosae,tomato_plant
genius_loci,Andrei_Tarkovsky
musical_phrase,Mandarin
escheat,escape_mechanism
valuation,blood_flower
carpal_tunnel_syndrome,Delilah
Epipactis_gigantea,scarlet_fever
moss_campion,Utrecht
synonymy,Anglo-Saxon_deity
paralinguistic_communication,bombshell
trifid_beggar-ticks,kinesis
Comstock,imaging
life_story,Abronia_villosa
retrofit,incubation_period
vena_vertebralis_anterior,brushing
genus_Rhyncostylis,genus_Calliandra
High_Holy_Day,hepatic_coma
Katsuwonidae,familiar_spirit
crackle_china,Biu-Mandara
naive_art,cultural_attache
Lear,genus_Erythrina
line_backer,rhinolaryngologist
Sir_Alexander_Fleming,mean_deviation_from_the_mean
test_paper,Crotalus_scutulatus
Assault,guano
hand_mirror,Liliaceae
genus_Symphytum,clingstone
Crustacea,digital_photography
sleeping_bag,leeward_side
spore_mother_cell,pane
assiduity,spackle
Psocoptera,Leboyer_method
Lafayette,red_salmon
tumor_suppressor_gene,office
monocytic_leukaemia,National_Rifle_Association
protoctist_genus,sonata
Trasimeno,acquiescence
civil_law,rapture
west,Spiranthes_porrifolia
postiche,kingship
floating_policy,lamellicorn_beetle
hideousness,trench_mortar
pine_sawyer,Magna_Mater
arthrocentesis,male_reproductive_system
bride-to-be,isometric_line
kitchen_cabinet,emeritus
Jumada_I,turd
Georges_de_La_Tour,Tenniel
blarney,esprit_de_corps
3D,Urticales
odiousness,index_fossil
cosmetic_surgeon,roller_blind
pollster,mitre_box
soochong,uncommunicativeness
Gregory_Pincus,flowering_cherry
Vaccinium_caespitosum,springtide
cattle,Smitane
normaliser,last_mile
Thomas_Woodrow_Wilson,dishwashing_machine
bluing,genus_Dendraspis
double_fault,Ugandan_monetary_unit
owlet,Cupressaceae
enjambment,rat_chinchilla
ovarian_cyst,prepotency
Leboyer_method,venerableness
Karl_Linne,coq_au_vin
coast_redwood,Urocyon
suckling_reflex,suppressor
Pinatubo,personal_cheque
income_tax_return,Crimea
genus_Nasalis,Montia_lamprosperma
depressive,wine_cooler
silver-bush,mollycoddler
Hazlitt,tetranychid
myopathy,dekameter
watch_fire,sex_drive
Beijing_dialect,semiconductor_unit
pay_dirt,deadbeat_dad
sloop,bus_driver
railroad_worm,homeliness
refereeing,Peter_Carl_Faberge
putt,Mount_Sherman
caruncle,Chiwere
schizoid,Kamasutra
asynergy,range_animal
county_council,drinking_song
Cyperus_longus,air_shaft
scattergood,President_Kennedy
Clematis_baldwinii,patrology
full_term,patent_law
Mishna,southern_scup
family_Davalliaceae,left_gastric_artery
drug_withdrawal,abcoulomb
addendum,Matabele
double_creme,college_student
Bonasa,radiolocation
coreid_bug,civil_officer
Green_Bay,Julius_Erving
flat_panel_display,Streptomyces_griseus
goral,Rheims-Douay_Version
steam_chest,water_filter
galoot,stewpan
GIA,curling
complaint,sectarianism
craniate,hymeneal
matriarchate,Hemipteronatus
cornea,garland
post-mortem,Jinghis_Khan
genus_Arisarum,Marquis_de_Lafayette
Stein,Heshvan
passiveness,lily
incline_bench_press,soybean_oil
crustal_plate,interlocutor
Cepheus,dirham
Oriolus,factor_X
government_revenue,exodontics
family_Myrmecophagidae,Ipomoea_orizabensis
see,Oxyura
hot_water_plant,Meniere's_disease
scoffing,emeer
ordinary_life_insurance,English_cocker_spaniel
protea_family,silver_lace_vine
Polemonium_boreale,sweats
inculpableness,stagecoach
federal_official,Ahvenanmaa
battle_of_Cunaxa,cell_theory
Achras,thundercloud
antihemophilic_factor,Sardinops
safety,lip-gloss
Holy_Year,bread_dough
podiatrist,family_Lycoperdaceae
national_holiday,Markaz-ud-Dawa-wal-Irshad
Charlotte_Bronte,McMaster
Werlhof's_disease,hand-me-down
manic-depressive,Caliphate_State
Salix_purpurea,saree
severalty,mysophobia
Jakobson,auxiliary_cell
crab_cocktail,panic_button
L.A.,serum_disease
WY,Limnodromus
Castanopsis,Northeast
NNW,Naticidae
evil_eye,armed_forces
Fossa_fossa,instantaneousness
sarcodine,HDTV
Hugh_Capet,Vienna_sausage
Genoese,riposte
party_favor,genus_Castanopsis
rhythm_method_of_birth_control,geezer
western_big-eared_bat,paradiddle
Pollack,towboat
PSA_blood_test,Raphael
submergence,Welsh_poppy
balsam_fir,whiskey_neat
pissing,goad
endarterectomy,Volunteer
Frankenstein's_monster,United_States_Senate
Jay_Gould,line_drawing
civil_authority,seashell
public_nudity,Sarpedon
genus_Connarus,Clitocybe_irina
abruptio_placentae,genus_Parus
prolegomenon,Erwin_Rommel
humanitarianism,Korsakoff's_psychosis
gaming_table,chancery
syndic,articulatio_plana
snare,growth
duds,Firth_of_Forth
woodgrain,embracing
University_of_Nebraska,subdivision_Taxophytina
bombard,fluosilicic_acid
Mimosa_pudica,United_States_Secret_Service
Douglas_Fairbanks,vulgariser
Morrigan,retronym
mushroom_sauce,genus_Xanthomonas
hustings,Bubalus_bubalis
thioguanine,ostentation
mass_spectrum,Leyden_jar
leging,yellow-breasted_bunting
charitable_trust,main-topsail
junior_class,Bouvines
jugal_bone,binding_energy
lakeshore,tidytips
bonsai,genus_Litchi
ascending_colon,Americana
differentiator,sterling_area
figeater,broomweed
seaward,garbage_dump
family_Papaveraceae,genus_Aristolochia
Google,Amianthum
Thomas_Carew,pollen_tube
genus_Vanda,acarus
plush,wanker
ironmongery,sanwa_millet
reminiscence,potato_mold
claque,lutein
genus_Gracula,genus_Welwitschia
handcar,ax_head
Krzysztof_Kieslowski,ducking
KO_punch,Lithophragma
spectral_colour,gym_shoe
Indian_millet,minuscule
polo,mouthful
bunko_game,fly-by-night
space_lattice,type_O
musculus_triceps_brachii,jinrikisha
Eugenia_corynantha,carpet_moth
insularism,self-improvement
physiognomy,Indiana
ganglion_cell,two-wing_flying_fish
adjuration,genus_Sigmodon
outside,evening_star
good_Samaritan,dish_washer
preemployment_training_program,Andreaeales
pilgrimage,eremite
bodybuilder,moment_of_a_magnet
charcuterie,trouble_shooter
great_circle,interview
WTO,sexual_conquest
diuretic,Counsel_to_the_Crown
understructure,Testudo_graeca
genus_Sloanea,indie
roulade,telephone_directory
God's_Wisdom,meteor_swarm
deuce-ace,numbers_racket
signer,Carl_Anderson
tidewater_stream,Oxydendrum_arboreum
sea_kale,New_Britain
rusticism,weather_satellite
I_Kings,governing_body
tabernacle,binary_operation
creatine_phosphate,blowfly
raglan_sleeve,Tudor_architecture
Shapley,thoracic_aorta
punched_card,Purple_Heart
somberness,greater_pichiciego
hypsometer,double-bitted_ax
Luxembourg-Ville,family_Pholidae
yogi,Hero
simple_machine,shelter_tent
Peromyscus_eremicus,Weber-Fechner_law
