5000
caraway_seed_bread,salal
Solanum_rostratum,veto
buddy_system,John_Joseph_McGraw
genus_Allionia,Luxor
Dagestani,Coulomb
tassel,Savannah_River
suffixation,barrel_organ
table_turning,Peeping_Tom
polygynist,speaking
come-on,worsted
leveling,hold
phylloquinone,galena
avower,bank_statement
ironmonger's_shop,femininity
blur,Archibald_MacLeish
information_superhighway,Elie_Metchnikoff
Ollari,riding_bitt
Edward_VII,African_clawed_frog
Dirca_palustris,nude_mouse
singalong,vena_labialis_inferior
Uruguay_potato,spider's_web
transmittance,sound_pressure_level
havoc,Poephila
anorchia,pe-tsai
keeper,frailness
Styrax_obassia,family_Thelypteridaceae
gelt,Scutellaria
California_nutmeg,kalumpang
hypnophobia,quickener
intestinal_flora,Count_Alessandro_di_Cagliostro
freewheeler,crosswind
pole_vaulting,sulfamethazine
Liberian_coffee,palpebra_conjunctiva
Brutus,order_Dictyoptera
Titaness,sweepstakes
ambages,Caudine_Forks
tennis_club,Agaricus_campestris
mysophobia,ignition_switch
bomb,running_hand
unseemliness,Paul_Heyse
genus_Balaeniceps,fire_pink
Cydippida,nebular_hypothesis
Sir_Paul_Gavrilovich_Vinogradoff,kummel
preceptor,turnpike
logical_positivism,clubhouse
branch_water,saury
Fort_Myers,restrictiveness
order_Diapensiales,prion
Stephanie_Graf,Boccaccio
family_Kinosternidae,linebacker_blitzing
suborder_Menotyphla,Shavuot
prankishness,flavin
autosome,retraction
corn_tash,licorice_fern
drunken_reveler,charge_of_quarters
Zamboni,towline
image_scanner,epitaxy
Apus,Angora
myrtle_spurge,genus_Circus
interdiction_fire,digester
undesirability,Adolf_Eichmann
Zapotecan,regosol
feverfew,cordage
tsoris,Friuli-Venezia_Giulia
resident_physician,tagasaste
entrance_exam,backroom
female,E_layer
trazodone_hydrochloride,pollination
inception,electronic_deception
captopril,commandery
paediatrician,Iceland_moss
conspectus,Plantago_major
T._E._Lawrence,clusia
zebrawood_tree,garter_belt
racing_gig,Colo.
categorisation,the_Hill
calisthenics,jerry-building
caustic_soda,genus_Elephantopus
trousers,venule
Alsace,sit-up
bonxie,Andrei_Dimitrievich_Sakharov
genus_Casmerodius,glyceraldehyde
songster,trainbandsman
categorization,notice
genus_Euglena,Salmo
family_Tulostomaceae,systema_skeletale
lamedh,Phytolacca
First_Baron_Lytton,rewa-rewa
incentive_stock_option,homebody
looking_glass,Hangzhou
cornflower,bullhead
genus_Xyphophorus,fractal_geometry
excreting,intrepidity
togetherness,space_station
Baroness_Dudevant,sorb_apple_tree
rum-blossom,pith_hat
duplicator,trade_embargo
woods,Great_Slave_Lake
Deuteronomy,sorb_apple_tree
dieting,Peke
Baader_Meinhof_Gang,Tortricidae
wreckage,ribbon_fern
foreshadowing,erection
hogwash,genus_Odobenus
pregnant_chad,genus_Celtis
container_ship,Catherine_I
about_turn,vertebral_column
ciliary_body,discontinuity
totipotency,diabetic
Constantine,channels
Aglaonema,Toxicodendron_quercifolium
Sambucus_ebulus,mimesis
caffeine_addict,defence
muscle-builder,Kotoko
iron-gray,Caryophyllales
paperweight,pennon
chaos,finesse
genus_Erigeron,Paige
cabin_boy,mandator
parqueterie,Cheilanthes_lanosa
Sir_Arthur_John_Evans,overstrain
enlarged_heart,Muscadet
cherry_pepper,pleasure_principle
dismissal,hieratic
genus_Fremontodendron,Connarus_guianensis
pancake_day,googol
printer,Doctor
pay_as_you_earn,east-west_direction
mundanity,Huldreich_Zwingli
William_Patterson,apology
genus_Macrocheira,genus_Sparganium
seigneur,commutator
acrylic_fiber,long-spurred_violet
lower_rank,profusion
psychotropic_agent,Salvelinus
Gnetaceae,Tatar
nail_varnish,family_Dactylopiidae
Ovis_ammon,genus_Synaptomys
genus_Haplopappus,azathioprine
reminder,hawser_bend
white_rocket,oxyphencyclimine
Caloosahatchee_River,glasnost
soil_profile,Monera
Holcus_lanatus,pediatrist
accessory_hemiazygous_vein,genus_Cryptocoryne
headache,Benjamin_David_Goodman
diplotene,conception
renege,sag
Presbytes,polo-neck
soap-rock,columbite
Shelton_Jackson_Lee,mansard_roof
propylthiouracil,shillelagh
ulnar_artery,straight_chair
second_wind,negative_correlation
palatine_raphe,methylbenzene
cardboard,chewing_gum
winter_cress,greenhouse_emission
auxin,chittem_bark
Elizabeth_Palmer_Peabody,uniocular_dichromat
monkey_bridge,Kapsiki
moderate_breeze,allograph
efficacy,Scotch_malt_whisky
Acanthocereus_tetragonus,zero_point
preterition,Xerxes_the_Great
Seton,Leuciscus_leuciscus
Bruckner,Lycopersicum
conjugated_protein,foster-nurse
Scotch_thistle,acute_hemorrhagic_encephalitis
musculus_trapezius,genus_Morone
cardcastle,wayside
annual_ring,Sam_Shepard
genus_Phacelia,bather
Muenster,Bayard
Helsinki,stage_fright
Salisbury,codification
jaunty_car,Susquehanna_River
carrel,packman
Arthur_Ashe,court_tennis
Muybridge,generalcy
Ericaceae,undergarment
Leboyer_method,gerontocracy
disability_benefit,family_Zeidae
steakhouse,Kingdom_of_Spain
verb,clubroot_fungus
John_Paul_I,Browning_automatic_rifle
cupric_sulfate,genus_Auriparus
balsam_poplar,genus_Fucus
ratio,data_system
nail_pulling,genus_Micropterus
Chlamydia_psittaci,outrigger
smoke_bush,secobarbital
Gian_Carlo_Menotti,professional_association
redbelly,polybutene
oxidizer,logotype
farting,tall_bilberry
Hebrew_script,muscle
family_Ericaceae,landing_stage
genital_system,nifedipine
betting_odds,contiguousness
elkhorn_fern,terrine
Coccyzus,lye_hominy
pea_tree,Degas
weasel_word,hurdle_race
hordeolum,red_drum
unruliness,field_mustard
Hexagrammos,Alexandrian_laurel
egghead,back_channel
Dipsacus,judge's_robe
chalcopyrite,foetor
councillorship,Harmsworth
devil's_urn,degree
southern_flying_squirrel,empiricist_philosophy
take-up,Dicentra
Merthiolate,Prenanthes_serpentaria
oil_furnace,Dall_sheep
niche,coconut_tree
natural_language_processing,Hygrophorus_kauffmanii
manganese,Paris
Fiji_dollar,I_Timothy
refuter,family_Peramelidae
skeleton_key,tearaway
Broca's_aphasia,hand-to-hand_struggle
dislocation,Greek_Orthodox_Church
sedition,outrigger_canoe
Senecio_aureus,Austrian_winter_pea
legionary_ant,genus_Cercidiphyllum
king_begonia,nuke
computer_language,supplicant
saltpetre,Squillidae
Leontocebus,steamboat
maiden,Septuagesima
Eastern_hop_hornbeam,soupfin
sex_segregation,fenestella
Badger,calcarine_sulcus
hypogastric_artery,sopor
Ouija,apocope
tincture,Tibet
Sempach,giving_up
sphacelus,Spirula_peronii
Avestan,radio_detection_and_ranging
Pygopodidae,NYSE
Eurotium,Pekingese
orchidaceous_plant,long-tailed_porcupine
guided_missile_frigate,cargo_hold
lousiness,swaddling_bands
cascara,salon
totara,Liquidambar_styraciflua
eager_beaver,interplay
saddlebag,reflex_epilepsy
John_Henry_Newman,purchasing_agent
icebox,farmland
genus_Gymnadenia,metalepsis
belly_dancer,Agrippina_the_Younger
Nob_Hill,genus_Phlox
Federal_Home_Loan_Bank_System,steatite
genus_Pilea,spot_welder
genus_Rhodymenia,autosomal_dominant_disease
mahout,dress_rack
Lake_Nasser,smelt
Klopstock,Isthmus_of_Suez
genus_Erysiphe,ski_jump
missus,sinapism
dead_mail,bat_mitzvah
book_scorpion,traditionality
ooze_leather,Fraxinus_pennsylvanica_subintegerrima
mistle_thrush,rayons
mixed_bud,genus_Pterocles
Quercus_phellos,omniscience
Cecil_Blount_DeMille,red_tape
sales_tax,oil_pump
disc_space,Armstrong
Cordarone,postbox
moderationism,Dracaena_draco
orthophosphorous_acid,hierarchical_menu
class_Schizomycetes,Alaskan_Native
diving_event,utilitarianism
macroeconomics,Chapel_Hill
muscle_fiber,trawler
jammies,Lota_lota
family_Salicaceae,Alaska_king_crab
improper_fraction,William_Shockley
relinquishment,bestower
Monegasque,credulousness
Nitrostat,genus_Alca
basic_training,tollgate
Pisonia_aculeata,catholicon
Louis_Bleriot,capitol
improvidence,Cryptogamia
gawker,Viminaria_denudata
Limnodium_spongia,voltmeter
monotreme,Antrozous_pallidus
possession,nympholept
Federal_Security_Service,optative_mood
genus_Chamaedaphne,kunzite
differential_gear,Leonid_Ilyich_Brezhnev
idle_words,macro_instruction
genus_Malacothamnus,sweet-scented_geranium
Gymnocladus,Ticino
St._Olaf,prostatitis
horned_whiff,Supreme_Court
arability,hospitalisation
Venezuela,memory_access
genus_Albizia,nut_tree
telephone_box,achromatic_vision
throttling,ketone_group
jauntiness,rigamarole
brachycephalism,Tatary
ethanoyl_radical,silver_maple
encyclopedist,Lyrurus_tetrix
graveyard,phylloclade
wood_cudweed,instalment
garden_egg,alpine_azalea
trust_company,ology
hackberry,Orinoco_River
absolute_threshold,brachycephalic
skidder,payee
excruciation,paramilitary_unit
souvenir,Fitzgerald
demodulator,cling_film
family_Melastomataceae,bezoar_goat
radiographer,Chamaecrista_fasciculata
Simuliidae,rhyme_royal
internal_auditory_vein,Libyan_Desert
animal,stillborn_infant
flies,Sedna
nonmember,Galeopsis
rent-a-car,Republic_of_Palau
risk_of_exposure,posthole
Gorgas,valvelet
azure,refried_beans
Klein_bottle,NWbW
Adventist,Callitrichaceae
phonetician,zoster
father-in-law,higher_education
hairdo,Painted_Desert
Petasites_hybridus,Fifth_Avenue
system_program,Pseudoscorpionida
spa,diddly
abrogation,frontal_lobotomy
invitation,prohibition
Cassia_occidentalis,margin_of_profit
inlet,genus_Cercis
inguinal_canal,pilomotor_reflex
boardinghouse,Gestalt_principle_of_organization
symphonist,sebaceous_follicle
wind_gap,endoderm
Finn,balm_of_Gilead
genus_Proteles,sundew_family
paperweight,Odobenus_divergens
genus_Clupea,Frank_Capra
rectal_vein,matai
calypter,bird_shot
Rf,internal_control
Munda,brawl
mol,genus_Orchestia
drunk,clear-air_turbulence
architectural_style,evangelicalism
candy_cane,confines
Fujinoyama,Holothuria_edulis
caulking,year-end
genus_Spondias,food_coloring
Eucalyptus_viminalis,nurturance
family_Platanaceae,seventieth
zoot_suit,Regulus_regulus
rosemary,erythrite
so,FAQ
Pernis_apivorus,guitarfish
Othman_I,nonconformity
stooge,Bufo_canorus
genus_Planococcus,tannia
haplosporidian,Austrocedrus
editor_program,atomic_number_60
berm,freedom_from_double_jeopardy
Peter_the_Great,fruitwood
tollkeeper,patience
western_larch,tavern_keeper
police,Converso
Nasalis_larvatus,horseshoe_arch
Afrasian,fumaric_acid
Trygve_Halvden_Lie,weasel_word
internist,Sylvia_communis
house_servant,William_Frederick_Cody
allosaur,Bromus_secalinus
psychometrics,mushroom
balagan,cola_nut
Ciconiidae,quotient
oleander_fern,epidemic_meningitis
peace_pipe,Rhone
syllepsis,unobserved_fire
nosey-parker,inverse_function
rubber-base_paint,workfellow
intemperateness,family_Discoglossidae
file_folder,Donar
olefin,fluidity
potato_peel,Ardea
profit,real_GNP
Muntingia_calabura,Saint_John's
bias,Setophaga_ruticilla
show_business,precious_coral
clerical_collar,thinking_cap
overrun,paucity
Samoyedic,Zygocactus
metopion,Ovimbundu
Council_of_Constance,brigade
letter_opener,glasswort
Kenzo_Tange,genus_Cacajao
Eadweard_Muybridge,drip_culture
constructive_breach,genus_Poa
tray,cinnamon_bark
egocentrism,A.E.
Hani,Tarsius_syrichta
tea,apple_sauce
tophus,genus_Setophaga
leading_light,computer_database
Actinidia_deliciosa,brownie
mastocyte,cryocautery
eye_cup,conversation
monkey_bread,genus_Notoryctus
Plumbaginaceae,raptor
book_value,broad_hatchet
family_Anomalopidae,tabletop
smooth_lip_fern,genus_Pseudolarix
pavane,maigre
iridium,hyaluronidase
styrene,Langtry
Coeur_d'Alene_Lake,genus_Gastrophryne
three-way_calling,Phanerozoic_eon
slight,dollarfish
5-hitter,strengthener
biretta,cup_tie
deer_hunter,movie_maker
arrested_development,objective_case
snuffers,plateletpheresis
dubnium,mystery_play
histiocyte,Iraki
A-horizon,greenling
Central_American_strap_fern,Thaddaeus
Porto_Novo,Oklahoma
slavery,monitoring
floc,Larix_siberica
great-nephew,rockrose_family
military_headquarters,studio
archine,grubstake
perfecta,aeronaut
hypogastric_plexus,cabin
inducing,lightness
zamboorak,standing_committee
foursquare,cu_ft
halftone_engraving,grist
varsity_sock,weekend_warrior
Navajo,Dianthus_barbatus
American_Standard_Code_for_Information_Interchange,Choriotis_australis
genus_Lampropeltis,ctenophore_genus
Carthusian,private_school
woodworking_vise,inaptness
Italian_cypress,return_on_invested_capital
biomedical_science,Hizb_ut-Tahrir
skin-dive,chromosomal_anomaly
musculus_tibialis,chammy
vernix_caseosa,wiz
Tbilisi,Mt._St._Helens
Fresno,genus_Rynchops
dignity,store
gregarine,genus_Leucogenes
River_Severn,oblate
gram,photojournalism
businessmen,general_relativity_theory
Christ's-thorn,leu
Caspian_Sea,repulse
final_payment,satirist
finger's_breadth,natural_language_processor
bar_sinister,worldly_goods
Henri_Toulouse-Lautrec,lottery_winner
title_bar,noctambulist
Pallas_Athena,deamination
evangelism,Okla.
crossbreeding,Brest
Relafen,genus_Agastache
ravaging,plantar_wart
actinian,companionship
silver_hake,squandermania
fundamental_analysis,Arthur_Symons
whisker_jack,bicorn
partner_in_crime,reverberance
Sidonie-Gabrielle_Colette,family_Podocarpaceae
bookbindery,Hellenism
irrationality,Hercules-club
ocher,equal_temperament
six-gun,genus_Ginglymostoma
valuation_account,major_surgery
paradox,missel_thrush
Christ_Within,palmyra
genus_Prionotus,carboxymethyl_cellulose
Lilith,pager
sable's_hair_pencil,genus_Cetonia
key_fruit,Uigur
incitement,arriver
warrener,ivory_tree
Marsala,euronithopod
antianxiety_agent,stolidness
surge,Maeterlinck
railroad_flat,quarantine
genus_Gracula,chauffeuse
fiber-optic_transmission_system,duffel
planning_board,Percophidae
Micheas,moss_family
railbird,handball
loudspeaker,Masa
perpetrator,mind-altering_drug
Pierre-Paul_Broca,isotope
Philip_II_of_Spain,French_omelet
threesome,Alzheimer's
bitter_pea,Gorgoniacea
prod,arsenate
genus_Kirkia,Food_and_Agriculture_Organization
bleu,one-billionth
Lund,John_Churchill
baby_grand_piano,pushcart
special_verdict,pain_in_the_ass
nickelodeon,prechlorination
science_fiction,room_decorator
Chancellor_of_the_Exchequer,violation
smooth_hammerhead,yellow_granadilla
condyle,telegrapher
lettering,pyinma
silk_gland,greenback
genus_Catoptrophorus,milk_pox
frijolito,Thousand_Island_dressing
Richard_the_Lionheart,pulse
corpuscular_theory_of_light,A_battery
vent,Rhizopogonaceae
boatmanship,Walker_Percy
ricin_toxin,circumstances
freight_rate,parade
Upupidae,Dumas
Vatican_Palace,land
Lycoperdaceae,order_Solenichthyes
pons_Varolii,four-hitter
California_newt,acrogen
Iguania,Salina
kyanite,keratonosis
wild_water_lemon,air_pressure
Cecil_John_Rhodes,Alopiidae
marriage_of_convenience,scheelite
European_blueberry,genus_Diervilla
comrade,Neophron_percnopterus
scratch_pad,judgement
hawking,indebtedness
Walker_hound,cozenage
vulvar_slit,country_music
refuse,lysinemia
lampoon_artist,fortune_teller
fetlock_joint,chess_game
Pauropoda,pudding_stone
dust_bowl,superorder_Labyrinthodontia
Pternohyla,telecom_hotel
slider,genus_Sapindus
barium_enema,Mrs
false_gromwell,Brussels_lace
weave,refrigeration
nature,thick
cattleya,genus_Opuntia
mean_deviation_from_the_mean,Notoryctidae
handmaiden,settlings
WATS_line,Lupinus
abominator,Onosmodium
evaporation,lead-in
plain_stitch,voiceprint
wooden_spoon,hydrangea_family
romp,promotional_material
pulley,socialisation
tacker,Cidade_de_Praia
selsyn,conveyance
preinvasive_cancer,sodium_thiosulphate
anchovy_pear,popcorn
Roger_Eliot_Fry,Secretary_General
sickle,week_from_Monday
neoliberal,sedum
Xanthorroea,currier
secondary_education,biological_science
pyrophyllite,marblewood
rhytidoplasty,Carya_laciniosa
scrum,Atrichornithidae
conga_line,Archilochus
gasp,bosun's_chair
Newtonian_telescope,cleaning_woman
family_Tenebrionidae,Rudolf_Ludwig_Mossbauer
Ariocarpus,Ajaia_ajaja
blessed_event,Taxus_brevifolia
atonicity,Stoic
pod,wake-up_call
genus_Paleacrita,dehydration
Chopin,Cerambycidae
apothecaries'_unit,welcome_mat
thermal_resistor,Cucurbita_foetidissima
manicure_set,cephalitis
Paumotu_Archipelago,closed_loop
attestor,Hemingway
sidesplitter,wireman
bibliopole,Erigeron_pulchellus
African_marigold,Samolus_floribundus
Chiwere,buckwheat_tree
Lathyrus_tuberosus,guiding_light
waving,materfamilias
university,solid_state
hop_marjoram,Entebbe
Gerard_Kuiper,heteroploidy
gamp,riser_pipe
Origanum_dictamnus,Council_of_Chalcedon
tie-up,proscenium_wall
Robaxin,tourney
Echinoidea,pharisee
linoleum_knife,landau
Bedloe's_Island,red_lauan_tree
Waslaw_Nijinsky,state_of_matter
digital_subscriber_line,born-again_Christian
roller_towel,dewberry
Espana,cayenne
sawbones,Tarsiidae
military_blockade,atomic_number_5
John_Davis,hubbly-bubbly
favor,the_Hill
cultivator,he
bride-gift,job_lot
Newton's_second_law,Litany
homing_device,agerasia
margin_account,fireguard
Jewess,Chrysosplenium
agrobiology,Didrikson
Ulvophyceae,plug-ugly
EHF,family_Loasaceae
ecclesiastical_attire,Cicadellidae
capillary,Ichyostega
genus_Spirochaeta,service_cap
Cuban_sandwich,Marks
swivel,Sphyraenidae
Najas,tactic
never-never_land,genus_Entandrophragma
causeway,Bolanci
dancing_partner,Magna_Mater
genus_Zenaidura,turnover
buckeroo,Bernstein
a_la_carte,Outaouais
load_line,cheerio
bigheartedness,Nilo-Saharan
Hellenic_Republic,inclusion_body
wild_pansy,taxonomer
ringworm_bush,Capsicum_annuum_grossum
Gothic,defenestration
wild_rape,Thelonious_Monk
cosh,mycobacteria
Fanny_Wright,matrilineage
Karl_Scheele,boule
Hindooism,pepper_spray
lechatelierite,genus_Cardium
cabalism,Tungusic_language
psilocin,family_Pandionidae
landau,Blackshirt
genus_Nucifraga,defective_pleading
pharmacologist,Pholadidae
condom,usurpation
sky_marshal,NAFTA
Testudinata,gruffness
Themis,Synagrops
England,pyelitis
weather_forecast,take-home_pay
Rana_catesbeiana,qui_vive
miles_per_hour,foresightedness
Homo_rhodesiensis,Urochorda
purple_amaranth,studhorse
Department_of_the_Interior,street_cleaner
enfeeblement,ambidextrousness
existentialism,rowdiness
Carduelis_hornemanni,puddle
Ulvophyceae,American_antelope
news_reader,wheeler_dealer
microphage,merging
Privine,cervix_uteri
clamoring,I_Peter
permeation,truth_quark
Herman,shampoo
lobworm,Actinidiaceae
Cryptocercidae,national_flag
skimmed_milk,white_tie_and_tails
deuteranopia,class_Ginkgophytina
pyrrhuloxia,downy_poplar
motive_power,semimajor_axis
battle_of_Ipsus,Maianthemum_canadense
cyclicity,heat_unit
keeled_garlic,capital_of_Cape_Verde
countersuit,criminalization
abele,family_Xanthorrhoeaceae
Douay_Bible,bilge
family_Raphidiidae,three
genus_Clusia,aggregate_fruit
Jidda,Immaculate_Conception
hustings,scour
postlude,Pleurotus
Mt._Rushmore,fascia
Siberian_crab_apple,projectionist
vacuum_flask,armful
allocation_unit,MCIA
wok,quantum_leap
tort-feasor,router
favourable_reception,true_warbler
throatwort,cocky-leeky
pot_marigold,Nymphicus_hollandicus
deputy_sheriff,juke_joint
smirk,going-over
system_of_weights_and_measures,Mimus_polyglotktos
nanus,tither
television,genus_Olea
Vitis_vinifera,madwoman
adios,rebuke
Curie_temperature,grifter
ankylosing_spondylitis,trainmaster
Pitocin,samsara
genus_Steganopus,Kamchatkan_sea_eagle
Ovis_poli,real_matrix
Phenaphen,family_Tylenchidae
pallium,sweetness
homing_pigeon,dwarf_cornel
Viburnum_prunifolium,megapode
lungless_salamander,family_Osteoglossidae
osseous_labyrinth,Kunlan_Shan
naturalness,rateability
floorboard,eosinophil
fatty_tissue,Atlas_Mountains
caisson,Edward_Henry_Harriman
Beaver_State,allosaur
employable,British_House_of_Lords
phase_transition,carambola
wild_winterpea,to_leeward
hard_liquor,great_grandchild
North_Korean,beck
diarrhoea,Clay
Hasek,knobkerry
alluvion,Junkers
arteriosclerosis,figure_8
congeneric,Walhalla
genus_Acropora,Elizabeth_Cleghorn_Stevenson_Gaskell
tank,target_area
sentry_go,digital-to-analog_converter
community_center,Sayan_Mountains
pate_de_foie_gras,Sigmund_Romberg
one-hundred-thousandth,Carib
image_compression,ordinary_life_insurance
oil_pump,genus_Acarus
common_bird_cherry,Rheinland
dry_measure,azederach
Austrocedrus,Firenze
Czar_Alexander_I,Squalus_acanthias
kangaroo,Turnicidae
microradian,spider_angioma
genus_Rhynia,Macleaya
mensuration,rye_whiskey
Zingiberaceae,syncategoreme
alcazar,choo-choo
lemon-scented_gum,Saiga_tatarica
prisoner_of_war_camp,eelpout
papers,contingent_probability
Boletus_chrysenteron,upcast
handcraft,common_roundworm
close-quarter_fighting,Iphigenia
suicide_squeeze_play,Aphyllanthes
fallout,Gillespie
Ray_Bradbury,shammy_leather
Spode,straight-line_method
Federal_Party,habiliment
Voyageurs_National_Park,auxiliary_boiler
plasmacyte,fire_truck
Bison_bison,caravanserai
enthusiasm,squareness
pasteurized_milk,house_snake
spinal_puncture,arthritis
homozygote,osteoarthritis
chinese_mustard,Hubble
Eucalypt_ovata,genus_Tragopan
Cimicifuga,Callirhoe
chorionic_villus,genus_Prionace
coryza,geostationary_orbit
wellerism,Franklin_Pierce
Equus_caballus,grouse-berry
publiciser,shovel_hat
literalness,fairy-slipper
astringence,genus_Sistrurus
genus_Araucaria,cumulus_cloud
overacting,trichopteran
colour_tube,inductance
Garullus_garullus,meninges
listening,Kalmia_latifolia
complementary_DNA,gravitational_interaction
captive_finance_company,playback
lurking_place,wartwort
diol,leading_edge
salpingitis,Carpathian_Mountains
Alsophila_pometaria,Leptinotarsa_decemlineata
dismantlement,Pipile
furrow,propoxyphene
pickerelweed,tax_deduction
European_wood_mouse,spaghetti_sauce
Oxalis_cernua,acrobatic_stunt
yellow_dwarf_of_potato,suborner
Myaceae,transferase
out-migration,vehicle-borne_transmission
Richard_von_Krafft-Ebing,ciderpress
hawse,dwarf_phlox
eye_opener,genus_Hemipteronatus
Jordanian,cacique
proxemics,rhabdomyoma
sprigger,Crotalus_mitchellii
brier,Christmas_holly
field_pennycress,Willamette
arrow-grass_family,false_truffle
John_von_Neumann,capacity
bunchberry,arteria_ileum
wrack,dwelling_house
Geum_urbanum,plate_iron
magistrature,Little_Office
grayback,Aricara
heartlessness,nontricyclic_drug
Aleurites_moluccana,eponym
eparch,dry_cleaner
comparing,acorn_tube
escherichia,broad-leaved_everlasting_pea
genus_Cyclophorus,Mocambique
early_days,Ephestia_elutella
Arbor_Day,Park_Avenue
eating_disorder,Asian_crocodile
peripatus,motor_neuron
genus_Lebistes,lavalava
walking_delegate,Hygrotrama
glass_snake,ergometer
frizz,Flemish
Ragnarok,organ_of_Corti
clog_dance,bellyacher
prankishness,point_woman
San_Joaquin_River,Moniliaceae
divisibility,scan
qualifying_adjective,Wild_Bill_Hickock
castle_in_the_air,time_and_motion_study
Egyptian_lupine,griffon_vulture
associationism,Ponka
impact_printer,supervising
plunge,medical_exam
Victoria,leading_question
killer,signboard
short_list,tomato_worm
parlour_car,Vernier
tonus,Anemonella
come,bed_bug
Nightingale,pickaxe
triazine,Epstein-Barr_virus
brick,Wiley_Post
molindone,rubella_panencephalitis
Crataegus_aestivalis,labium
window_dressing,hypovolemia
snapping_turtle,genus_Plectrophenax
lumbus,brooklime
precession,borderline_intelligence
ski_binding,isosorbide
hand_cheese,head_of_hair
decease,sliver
genus_Nostoc,syneresis
superstructure,abiogenist
chaise,San_Angelo
streptokinase,cyclohexanol
Telosporidia,desiccant
inkpad,Plectophera
interleaf,Duchess_of_Windsor
curative,church_year
Pharaoh,icterus_neonatorum
mononuclear_phagocyte_system,herb_roberts
King_James,phytohormone
wisecrack,latanier_palm
genus_Trialeurodes,speckled_trout
cytoarchitectonics,gathered_skirt
Joseph_Eggleston_Johnston,Pipturus_argenteus
onion_stem,dining-room
air_cushion,Old_Saxon
silver-lace,correlation_coefficient
adjacency,close_quarters
coelophysis,currency
Asiatic_cockroach,May_24
bounciness,captaincy
contrariety,pa
takahe,foreperson
fenestra_vestibuli,cortical_cataract
remorse,scout_troop
war_party,sewerage
autolatry,pretending
professional_tennis_player,Tai_Yuan
Rhodosphaera_rhodanthema,St._Mary_of_Bethlehem
Daypro,ballottement
ball_carrier,Brits
nursing_care,genus_Tulipa
storm,Cu
belly_button,bowler_hat
rial,petrifaction
Pyrrosia,St._Petersburg
seedtime,Cumberland_Mountains
cast_iron,Etropus_rimosus
family_Psyllidae,podzol
interpolation,judgement_on_the_pleadings
Henri_Becquerel,liver-spotted_dalmatian
red_periwinkle,positive_magnetic_pole
election_fraud,codpiece
fornix,beneficiation
accounting_entry,Pterocarpus_macrocarpus
cat_cracker,automatic_teller
monopolizer,changeability
myelography,screen_background
kitsch,Nymphaea
funny,ablism
regur_soil,Melophagus
expiation,letter_of_mark_and_reprisal
Lobipes_lobatus,negotiator
Agdestis,thus
canyon_live_oak,band
Bride,Harlow_Shapley
busman,Turdus_migratorius
amygdalin,Kr
US_Marine_Corps,track_event
oophorectomy,dam
speckled_alder,Argonautidae
sandarac,genus_Ephippiorhynchus
dragon's_mouth,putrescence
eucalyptus_oil,constitution
basket_flower,Cuban_heel
thermogram,Bahrein_Island
Rimski-Korsakov,biotite
English_language,self-expression
belay,Garuda
Chiang_Kai-shek,plum_tomato
clip-clop,Anemopsis_californica
anthracosis,Norrish
Adirondack_Mountains,Menispermaceae
Anthonomus,Potentilla_anserina
class_Ginkgophytina,family_Corydalidae
William_Crookes,minesweeping
ruddles,Jan_van_Eyck
calculus_of_variations,punting
point_of_apoapsis,Aleksandr_I._Solzhenitsyn
alerting,tambour
Republic_of_Peru,focal_length
Raffaello_Sanzio,varsity_sock
automated_teller,Amphisbaenidae
Anthyllis,Old_Bullion
ovulation_method,experimental_condition
coordinate_geometry,Lise_Meitner
SWbW,underevaluation
Canis_Minor,spinach_plant
courier,lateral_line_organ
Egyptologist,St._Peter
praiseworthiness,Brassica_oleracea_acephala
multitude,Wild_West_Show
Abbe_condenser,family_Russulaceae
Bloomeria_crocea,Issus
utility_revenue_bond,War_of_the_Spanish_Succession
continuo,Grias
prelacy,Italian_Renaissance
ivy_arum,showroom
pinealoma,wide_screen
pituitary_gland,witticism
Lithodidae,white_croaker
Edwin_Powell_Hubble,human_knee
house_painting,stutterer
beach_morning_glory,deep_freezer
Calvatia,dispersing_phase
Goeteborg,jurisprudence
Andre_Maginot,Elizabeth_Gaskell
Iraqi_Kurdistan,number_1
genus_Portunus,scarfpin
astrologer,family_Myliobatidae
clementine,sob_sister
genus_Crambe,decisiveness
staghorn_fern,Peron
bo's'n,paretic
boxfish,Bernard_Law_Montgomery
Hedjaz,mosquito_bite
small_person,Fast_of_the_Firstborn
Cartagena_bark,pyriform_area
surplus,magical_power
work,family_Galbulidae
sinus_cavernosus,Divine
Elops,twister
Meropidae,utterer
treacle,metronymic
Accipitridae,Bowery
lanai,rock_star
lager,redbug
front_tooth,United_Nations_agency
supratrochlear_vein,interlocutor
painted_tortoise,tripe
expressionist,Chondrus
Gomorrah,shoe_lace
broom_sedge,butt-welding
peptone,Corpus_Christi
Central_American,factor_VIII
Aramaean,clyster
sea_cradle,Samaria
red_periwinkle,armor_plating
primigravida,habit
angiotensin_II_inhibitor,November_1
Symons,body_suit
paprika,balloonist
fishing_worm,Ward
family_Chrysopidae,Wicca
ethosuximide,hypophysial_dwarf
mandril,solidity
telophase,vagrant
funny,Galleria_mellonella
living_dead,genus_Ptilonorhynchus
Ephippiorhynchus,Pineus_pinifoliae
Saddam,sniper
isoflurane,lyrebird
Armadillidiidae,Jean-Louis_Lebris_de_Kerouac
ground_almond,cock's_eggs
respecter,Somalian
crit,applause
zombi,orangeade
